split,session_label,run_order_in_session,statistical_unit,coordinate_id,value_ns,is_infinite
calibration,CAL-01,79,selected_analysis_instance,X2,104643,false
calibration,CAL-01,79,selected_analysis_instance,X3,51818,false
calibration,CAL-01,79,selected_analysis_instance,X4,94784,false
calibration,CAL-01,80,selected_analysis_instance,E2E,4074727,false
calibration,CAL-01,80,selected_analysis_instance,X1,100194,false
calibration,CAL-01,80,selected_analysis_instance,X2,2938525,false
calibration,CAL-01,80,selected_analysis_instance,X3,861920,false
calibration,CAL-01,80,selected_analysis_instance,X4,124088,false
calibration,CAL-01,81,selected_analysis_instance,E2E,1071612,false
calibration,CAL-01,81,selected_analysis_instance,X1,100134,false
calibration,CAL-01,81,selected_analysis_instance,X2,10450,false
calibration,CAL-01,81,selected_analysis_instance,X3,834458,false
calibration,CAL-01,81,selected_analysis_instance,X4,76570,false
calibration,CAL-01,82,selected_analysis_instance,E2E,1088325,false
calibration,CAL-01,82,selected_analysis_instance,X1,100030,false
calibration,CAL-01,82,selected_analysis_instance,X2,3217,false
calibration,CAL-01,82,selected_analysis_instance,X3,840729,false
calibration,CAL-01,82,selected_analysis_instance,X4,94349,false
calibration,CAL-01,83,selected_analysis_instance,E2E,1050961,false
calibration,CAL-01,83,selected_analysis_instance,X1,100035,false
calibration,CAL-01,83,selected_analysis_instance,X2,3691,false
calibration,CAL-01,83,selected_analysis_instance,X3,840862,false
calibration,CAL-01,83,selected_analysis_instance,X4,56373,false
calibration,CAL-01,84,selected_analysis_instance,E2E,1067850,false
calibration,CAL-01,84,selected_analysis_instance,X1,100077,false
calibration,CAL-01,84,selected_analysis_instance,X2,8080,false
calibration,CAL-01,84,selected_analysis_instance,X3,830793,false
calibration,CAL-01,84,selected_analysis_instance,X4,78900,false
calibration,CAL-01,85,selected_analysis_instance,E2E,4244135,false
calibration,CAL-01,85,selected_analysis_instance,X1,100174,false
calibration,CAL-01,85,selected_analysis_instance,X2,3083762,false
calibration,CAL-01,85,selected_analysis_instance,X3,879024,false
calibration,CAL-01,85,selected_analysis_instance,X4,131175,false
calibration,CAL-01,86,selected_analysis_instance,E2E,1052407,false
calibration,CAL-01,86,selected_analysis_instance,X1,100041,false
calibration,CAL-01,86,selected_analysis_instance,X2,4175,false
calibration,CAL-01,86,selected_analysis_instance,X3,840218,false
calibration,CAL-01,86,selected_analysis_instance,X4,57973,false
calibration,CAL-01,87,selected_analysis_instance,E2E,1050250,false
calibration,CAL-01,87,selected_analysis_instance,X1,100030,false
calibration,CAL-01,87,selected_analysis_instance,X2,3074,false
calibration,CAL-01,87,selected_analysis_instance,X3,841461,false
calibration,CAL-01,87,selected_analysis_instance,X4,55685,false
calibration,CAL-01,88,selected_analysis_instance,E2E,5077462,false
calibration,CAL-01,88,selected_analysis_instance,X1,100197,false
calibration,CAL-01,88,selected_analysis_instance,X2,3942746,false
calibration,CAL-01,88,selected_analysis_instance,X3,876721,false
calibration,CAL-01,88,selected_analysis_instance,X4,107798,false
calibration,CAL-01,89,selected_analysis_instance,E2E,1080285,false
calibration,CAL-01,89,selected_analysis_instance,X1,100066,false
calibration,CAL-01,89,selected_analysis_instance,X2,7380,false
calibration,CAL-01,89,selected_analysis_instance,X3,836930,false
calibration,CAL-01,89,selected_analysis_instance,X4,85909,false
calibration,CAL-01,90,selected_analysis_instance,E2E,5196431,false
calibration,CAL-01,90,selected_analysis_instance,X1,100078,false
calibration,CAL-01,90,selected_analysis_instance,X2,14222,false
calibration,CAL-01,90,selected_analysis_instance,X3,4855822,false
calibration,CAL-01,90,selected_analysis_instance,X4,176309,false
calibration,CAL-01,91,selected_analysis_instance,E2E,1059369,false
